7LSX-D1,ranked,ranked_0,1.467
7LSX-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.429
7LSX-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.445
7LSX-D1,ranked,ranked_1,1.309
7LSX-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.375
7LSX-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.389
7LSX-D1,ranked,ranked_2,1.263
7LSX-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.354
7LSX-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.422
7LSX-D1,ranked,ranked_3,1.419
7LSX-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.431
7LSX-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.447
7LSX-D1,ranked,ranked_4,1.359
7LSX-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.379
7LSX-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.397
