7M7B-D1,ranked,ranked_0,3.327
7M7B-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,3.554
7M7B-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,3.627
7M7B-D1,ranked,ranked_1,3.313
7M7B-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,2.517
7M7B-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,3.731
7M7B-D1,ranked,ranked_2,2.210
7M7B-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,2.684
7M7B-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,2.550
7M7B-D1,ranked,ranked_3,2.288
7M7B-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,3.077
7M7B-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,3.614
7M7B-D1,ranked,ranked_4,6.666
7M7B-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,3.449
7M7B-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,3.843
