7M9C-D1,ranked,ranked_0,1.491
7M9C-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.486
7M9C-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.469
7M9C-D1,ranked,ranked_1,1.465
7M9C-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.419
7M9C-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.514
7M9C-D1,ranked,ranked_2,1.392
7M9C-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.403
7M9C-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.465
7M9C-D1,ranked,ranked_3,1.452
7M9C-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.447
7M9C-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.476
7M9C-D1,ranked,ranked_4,1.540
7M9C-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.468
7M9C-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.510
