7MLZ-D1,ranked,ranked_0,1.719
7MLZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,1.730
7MLZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,1.722
7MLZ-D1,ranked,ranked_1,1.721
7MLZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,1.708
7MLZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,1.706
7MLZ-D1,ranked,ranked_2,1.776
7MLZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,1.857
7MLZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,1.708
7MLZ-D1,ranked,ranked_3,2.221
7MLZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,1.692
7MLZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,1.705
7MLZ-D1,ranked,ranked_4,1.984
7MLZ-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,1.701
7MLZ-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,1.723
