7MSW-D1,ranked,ranked_0,15.072
7MSW-D1,Mod-5ranked,Mod-5ranked_unsupervised_0,15.619
7MSW-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_0,16.117
7MSW-D1,ranked,ranked_1,16.231
7MSW-D1,Mod-5ranked,Mod-5ranked_unsupervised_1,15.497
7MSW-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_1,15.898
7MSW-D1,ranked,ranked_2,15.522
7MSW-D1,Mod-5ranked,Mod-5ranked_unsupervised_2,15.941
7MSW-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_2,16.043
7MSW-D1,ranked,ranked_3,15.236
7MSW-D1,Mod-5ranked,Mod-5ranked_unsupervised_3,14.799
7MSW-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_3,16.005
7MSW-D1,ranked,ranked_4,20.697
7MSW-D1,Mod-5ranked,Mod-5ranked_unsupervised_4,15.406
7MSW-D1,Modalpha_2best_unsupervised,Mod-2best_unsupervised_4,15.858
